-5.6 0.0302 0.123 1
-5.2 0.0446 0.143 1
-4.8 0.0625 0.185 1
-4.4 0.0898 0.236 1
-4 0.107 0.286 1
-3.2 0.185 0.338 1
-1.8 0.323 0.392 1
-1.3 0.383 0.445 1
-0.6 0.473 0.496 1
-0.2 0.524 0.543 1
0.2 0.576 0.585 1
0.8 0.654 0.62 1
1.2 0.707 0.649 1
2.1 0.805 0.672 1.37
2.6 0.847 0.69 1.42
3 0.89 0.703 1.42
3.4 0.916 0.713 1.56
3.8 0.938 0.713 1.72
4.2 0.961 0.713 1.8
4.6 0.976 0.709 1.84
5 0.99 0.704 1.85
5.4 1 0.696 1.84
5.8 1 0.688 1.85
6.2 1.02 0.672 1.83
6.6 1.01 0.669 1.84
7 1 0.654 1.85
7.4 1.01 0.656 1.85
7.8 1.01 0.658 1.85
8.2 1 0.653 1.85
8.6 1 0.652 1.85
9 1 0.653 1.86
9.4 1 0.654 1.86
9.8 1 0.655 1.86
10.2 1 0.655 1.86
10.6 1 0.656 1.86
11 1 0.656 1.86
11.4 1 0.656 1.86
11.8 1 0.655 1.86
12.2 1 0.655 1.86
12.6 0.999 0.654 1.86
13 0.998 0.653 1.86
13.4 0.997 0.652 1.87
13.8 0.995 0.653 1.87
14.2 0.994 0.658 1.87
14.6 0.994 0.656 1.87
15 0.996 0.654 1.87
15.4 0.989 0.669 1.88
15.8 0.984 0.672 1.89
16.2 0.998 0.688 1.86
16.6 0.999 0.696 1.85
17 1.01 0.704 1.81
17.4 1.02 0.709 1.75
17.8 1.04 0.713 1.67
18.2 1.06 0.713 1.52
18.6 1.08 0.713 1.32
19 1.11 0.703 1.14
19.4 1.15 0.69 1.05
19.9 1.19 0.672 0.921
20.8 1.29 0.649 0.733
21.2 1.35 0.62 0.549
21.8 1.42 0.585 0.463
22.2 1.48 0.543 0.386
22.6 1.53 0.496 0.321
23.3 1.62 0.445 0.222
23.8 1.68 0.392 0.136
25.2 1.82 0.338 0.0806
26 1.89 0.286 0.068
26.4 1.91 0.236 0.0555
26.8 1.94 0.185 0.0304
27.2 1.96 0.143 0.0152
27.6 1.97 0.123 0.00808
28 1.98 0.0811 0.00426
28.4 1.99 0.0608 0.00213
28.8 2 0.0355 0.000978
29.2 2 0.0174 0.000441
29.6 2 0.00736 0.000198
30 2 0 8.84e-05
30.4 2 0 3.96e-05
30.8 2 0 1.78e-05
31.2 2 0 7.98e-06
31.6 2 0 3.59e-06
32 2 0 1.61e-06
32.4 2 0 7.25e-07
32.8 2 0 3.26e-07
33.2 2 0 1.46e-07
33.6 2 0 6.31e-08
34.1 2 0 2.57e-08
34.5 2 0 9.46e-09
35 2 0 4.38e-09
35.4 2 0 1.68e-09
35.8 2 0 7.28e-10
36.2 2 0 3.63e-10
36.6 2 0 1.63e-10
37 2 0 7.29e-11
37.4 2 0 3.17e-11
37.9 2 0 1.29e-11
38.3 2 0 4.85e-12
38.7 2 0 2.44e-12
39.1 2 0 1.1e-12
39.5 2 0 4.7e-13
40.1 2 0 1.58e-13
41.5 2 0 1.88e-14
42.2 2 0 0
43.7 2 0 0
